Feature	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
31342_at	139.423	169.568	132.574	109.777	104.859	140.767	130.207	91.1368	89.3285	104.55	119.51	113.643	97.0745	144.178	117.624	142.977	98.3465	166.697	115.789	105.465	106.68	154.099	117.905	69.6939	128.27	126.252
31343_at	8.50093	21.1695	4.76155	10.3207	12.6733	3.43293	23.7289	3.31941	0.688826	-3.29841	-0.0278592	2.6089	14.7636	-0.204522	-60.686	-1.75306	4.3278	11.0599	-2.30007	2.87448	5.68857	6.85971	1.04752	1.9759	4.71653	1.43033
31344_at	60.8199	-394.553	85.7358	67.3778	94.0531	93.2234	76.6311	55.9907	47.3014	29.0413	63.9798	79.5849	36.9007	54.4277	70.5839	92.0008	30.9841	85.3465	27.6526	38.7378	98.9954	196.454	62.4551	77.2344	-220.107	197.113
31345_at	37.7096	16.4941	41.2689	47.4344	21.6537	30.2287	28.5373	13.6873	7.46991	34.7569	32.4618	27.9021	27.4486	12.9936	24.5116	17.9923	15.7241	65.1488	31.344	9.81193	27.1199	46.4389	47.2319	12.9422	12.1819	30.9481
31346_at	35.6071	38.4721	63.5624	55.8759	43.6782	60.9735	41.6551	85.1964	87.8979	123.341	46.5545	72.6205	93.4518	46.847	57.8507	43.3699	72.934	70.9823	46.8879	62.2688	81.5302	45.5724	47.9187	45.3537	79.097	55.8244
31347_at	192.835	78.9517	96.1371	108.988	89.4138	81.2301	103.677	75.6375	69.1955	136.982	89.1795	118.595	133.967	61.8186	106.437	69.9862	131.086	226.982	149.112	78.2701	135.078	129.7	95.9799	51.7135	205.179	162.076
31348_at	24.9388	3.10118	13.489	13.9802	13.6566	13.1852	23.7724	24.9673	24.0044	21.1208	57.5241	19.8483	1.93178	15.4617	23.974	7.03824	17.678	18.595	20.8777	21.3358	13.4029	16.933	22.9395	8.80947	13.0671	31.361
31349_at	29.4782	30.1089	40.0346	43.1862	38.0548	15.6828	24.5001	-19.4126	-5.65372	33.4306	14.5249	11.0152	-31.4089	19.7307	29.632	15.2385	-8.3158	30.777	57.4851	-49.4748	2.27847	31.0391	20.0366	7.73061	3.55578	12.9281
31350_at	268.752	167.865	288.847	208.604	189.276	244.004	227.616	154.493	178.113	252.045	209.735	192.243	125.988	233.956	199.984	266.447	206.659	213.079	259.185	144.854	222.449	193.007	186.816	130.009	151.32	225.702
31351_at	13.0213	-3.0867	32.9084	2.65486	28.5149	8.03442	-17.4642	9.51653	-27.5173	28.2319	-1.74408	44.7104	27.2904	13.7186	23.5255	13.9918	15.5542	17.112	1.47103	23.4393	27.6569	11.3017	31.649	9.35285	16.0169	25.0649
31352_at	65.5145	44.0921	53.8278	48.6217	31.4913	41.195	88.1088	7.00295	16.9593	46.8118	29.3106	40.9957	34.3379	19.5749	18.0818	44.109	30.9563	47.8895	50.97	19.4808	36.3149	68.8202	46.0998	34.4833	30.5214	45.294
31353_f_at	464.122	436.574	371.229	465.519	361.772	450.588	390.704	172.512	308.891	460.704	369.08	309.898	306.955	359.412	465.204	343.971	526.82	488.479	345.388	341.139	319.741	365.599	480.031	433.679	198.184	320.477
31354_r_at	65.3482	44.5892	68.3952	60.0952	62.0669	101.569	46.2814	54.844	51.437	36.2471	43.4709	68.6476	76.0012	52.5534	47.253	106.388	40.1954	80.2266	42.0308	32.9906	-3.24216	81.2111	60.3285	27.4743	76.6212	64.669
31355_at	185.137	163.138	128.63	129.701	152.595	122.576	241.579	206.315	180.81	140.332	173.913	141.44	117.52	197.571	110.568	193.132	157.392	206.459	240.033	129.144	86.4926	171.59	164.009	158.522	140.886	127.117
31356_at	165.366	194.529	266.452	250.405	177.347	203.771	239.095	114.929	116.305	322.058	138.194	175.615	127.058	141.737	210.712	259.72	186.118	170.515	129.362	185.672	279.68	180.212	200.208	215.065	113.38	183.385
31357_at	240.969	214.829	269.956	265.694	153.814	165.58	246.333	161.489	257.957	301.488	119.037	212.777	162.262	142.417	189.16	146.305	463.845	305.913	257.606	168.829	302.545	300.681	161.315	179.114	178.667	217.682
31358_at	51.1941	55.8029	47.743	36.3271	91.3033	47.3593	68.2692	18.9867	28.8561	28.6611	-29.4263	30.6944	26.3359	17.3591	25.4456	27.5627	25.6804	59.6001	31.0306	6.00401	0.710896	32.2205	56.6931	26.4954	22.2304	39.2494
31359_at	6.66395	11.3476	-0.199725	17.8139	15.3481	-0.578794	3.72669	17.967	41.9913	17.8804	6.58678	10.4933	9.83787	-1.58291	14.1781	11.8241	18.7586	12.9898	4.59672	33.8803	9.79766	8.08239	9.0717	9.3366	13.2707	6.07408
31360_at	48.6114	14.958	67.7454	60.2125	24.1763	40.8826	43.3918	20.58	9.78746	69.2656	50.6164	17.5478	9.8701	20.88	33.2616	28.1245	30.2144	66.436	45.0933	9.36118	35.8284	55.0635	23.3418	23.7929	26.3927	40.667
31361_at	36.5343	25.3529	30.8355	28.2217	8.74242	19.258	34.893	16.5985	32.055	30.5353	25.5873	17.2951	2.59895	16.6252	29.6363	10.5465	26.5379	38.64	33.1438	14.9659	20.4802	43.0479	29.9439	13.452	23.7605	38.1994
31362_at	412.338	384.259	394.639	362.904	240.273	317.049	430.311	317.839	337.631	428.04	368.14	284.513	221.225	239.4	312.489	298.405	426.224	452.142	436.701	247.173	428.874	415.1	311.585	199.349	264.064	441.567
31363_at	141.939	72.7142	99.8759	114.494	138.468	95.6767	139.544	68.4194	78.1148	89.2726	110.281	115.904	120.925	110.505	112.39	72.1411	72.4541	147.568	175.625	82.8192	93.8246	140.86	105.587	105.274	95.6504	89.4277
31364_i_at	36.4318	12.4748	32.5865	16.9474	23.0748	35.6291	18.7085	0.632673	14.6921	21.6357	14.0098	7.71463	13.4816	13.056	19.7958	8.54124	27.7973	31.2212	33.768	13.4658	8.23201	27.6083	18.0468	-0.691375	19.7899	46.6241
31365_f_at	52.9437	27.1124	49.5398	45.4437	35.8972	37.5118	39.5034	24.8422	15.7892	40.5838	35.9248	22.3834	16.825	4.91238	31.6101	19.1003	43.7178	39.9977	39.8363	22.9884	37.7287	50.3935	27.286	17.7547	21.6213	41.042
31366_at	61.3229	66.3107	56.054	52.1385	66.074	9.52143	65.418	42.741	72.4446	64.8148	55.6823	63.3352	55.9125	48.4446	23.2446	28.5318	38.8451	86.5661	80.3382	47.6126	72.151	108.081	52.2595	4.10314	56.3858	78.1778
31367_at	65.3667	66.8159	78.8531	40.8464	44.1937	26.7085	60.8044	55.0761	46.0098	81.0943	27.6514	51.9875	50.2382	26.072	67.7264	19.2189	29.4314	37.2774	29.0026	45.9863	65.6202	46.7669	41.7338	35.5965	30.2128	55.5426
31368_at	68.6627	63.0803	85.9725	81.6387	52.9221	57.821	87.8751	29.1132	38.0461	89.0303	33.9682	41.5452	20.5871	40.4425	63.1741	50.9797	65.894	76.2522	49.2988	14.9616	47.0053	93.0661	41.9092	44.8385	48.8188	74.4574
31369_at	10.9786	92.1722	-3.55993	0.849691	25.4535	7.38804	20.2779	-9.59971	-7.25167	9.78984	-6.56723	5.70349	-8.9378	-0.057119	-1.28236	-6.94101	-1.37091	-5.98051	5.05956	-17.078	0.315092	4.387	-6.27292	-0.221245	3.19005	7.8187
31370_at	23.8657	0.177197	26.8936	21.6048	11.5091	21.5466	30.6158	1.92886	-77.7694	31.5737	7.08044	17.5473	-0.825097	4.31744	15.6809	12.6264	17.5584	26.4634	23.5987	13.3633	21.1461	32.655	15.0346	14.5359	18.608	37.2687
31371_at	5.01524	-38.9859	0.485286	-2.29043	-23.6341	-4.09123	-1.06324	24.2057	-6.12358	-64.844	1.08545	3.36623	4.93097	3.55702	-22.4669	-19.0878	-18.2047	-30.1757	-10.8797	-10.6613	-8.71233	-36.8072	2.49389	-16.4445	-20.9676	-41.0933
31372_at	177.065	171.192	277.25	190.222	138.393	174.045	181.367	212.31	151.401	181.883	141.452	196.457	87.2036	211.343	164.455	132.13	175.757	144.372	176.337	149.949	164.907	128.504	158.706	105.255	151.208	179.983
31373_at	45.8588	34.0826	60.7702	66.5821	25.068	26.0275	59.5764	23.1776	50.853	69.0185	32.0375	32.0315	38.8415	35.0582	35.2809	32.4503	43.0175	65.8211	54.4923	16.9201	41.8224	67.4608	47.6087	38.4129	35.7417	48.8883
31374_at	50.9341	4.07801	36.151	46.4369	22.5468	28.2087	46.5235	46.685	31.6659	36.0617	-66.6585	40.8864	63.1551	32.3002	-16.8447	34.6964	59.291	61.777	58.8794	32.2351	39.359	49.1855	63.6269	66.9824	47.3164	30.8553
31375_at	407.17	373.017	466.838	467.278	407.637	372.743	526.11	327.569	375.203	396.731	422.12	390.245	342.044	432.547	308.41	356.571	360.72	448.511	439.405	303.763	424.272	430.627	371.786	382.957	333.499	419.733
31376_at	16.8144	-0.769524	-4.87448	-0.835582	4.04739	7.89114	11.1662	-19.7231	-15.4885	-5.39451	-1.94732	-6.20708	1.55868	-19.1825	15.6924	-4.75583	2.91078	17.0231	-3.61493	17.3263	3.92809	7.29553	14.0691	15.7831	8.86286	-3.71759
31377_r_at	24.3676	6.01475	9.19057	18.1039	20.0476	9.26315	24.8809	16.127	23.6577	18.3907	14.131	18.8825	43.3275	9.51985	13.6633	15.0408	8.54141	39.0015	38.4084	12.6098	14.0193	30.7981	20.6185	14.7568	55.5017	17.7796
31378_at	139.241	89.9168	137.726	115.949	77.704	77.7341	125.538	102.909	82.6901	135.384	99.5792	107.995	59.2687	84.1913	108.893	90.0344	144.081	141.992	128.262	90.374	129.938	115.461	83.1104	67.7456	94.081	124.578
31379_at	101.986	84.6254	117.944	98.4812	82.5094	92.1451	107.588	89.4731	79.2893	99.2002	82.1444	89.682	76.2816	94.2885	89.4569	83.563	107.063	107.897	92.448	67.1811	118.107	99.4041	88.1335	74.4817	86.7739	127.804
31380_at	126.172	107.521	122.385	128.012	63.1586	40.0276	102.268	88.002	77.364	102.87	106.177	83.529	54.1066	123.165	97.3631	72.9321	115.136	105.584	157.364	96.5753	110.441	120.119	74.1428	85.8083	54.8253	163.667
31381_at	81.2844	74.2868	91.1349	67.5637	81.2566	59.0001	71.5763	55.5039	64.7703	97.414	92.9003	86.4903	35.1053	79.0483	80.1768	89.6479	118.639	80.5216	96.7016	30.4414	57.8896	79.4284	88.3365	79.3688	68.9776	96.6763
31382_f_at	-7.15113	-20.7531	-9.44844	11.2539	-14.8375	11.3105	19.1748	3.78602	-5.01044	815.247	-10.7343	-14.662	-18.1485	-11.4864	353.866	-9.24438	14.3273	203.611	-26.1654	5.25392	903.554	-8.70355	-16.7579	-11.9028	-18.072	-13.882
31383_at	57.5308	148.301	90.8404	77.5852	83.8227	109.624	97.0634	98.7201	70.8695	102.809	53.8349	80.7351	87.1477	78.9365	114.01	112.635	78.5512	79.6198	90.6717	97.9433	84.1557	129.377	109.776	95.3734	129.709	124.082
31384_at	118.845	94.944	78.8022	91.8056	92.7443	71.8631	86.1694	59.1011	109.516	87.5921	94.3465	77.1165	69.0928	82.8418	75.672	89.945	77.0416	110.707	132.453	84.0109	90.7458	111.452	78.3542	88.6175	67.4869	102.447
31385_at	3351.76	4323.17	2793.21	3072.51	3811.76	2826.91	2280.98	3677.21	3949.6	3294.23	4913.77	4714.97	3061.22	2930.72	1931.77	4708.72	3784.57	2188.94	3486.82	4791.92	2653.41	2636.2	3723.43	3638.23	3659.51	4538.63
31386_at	286.108	232.94	217.035	192.841	193.545	183.907	185.979	168.304	143.33	293.865	163.125	174.416	142.504	155.284	216.261	307.156	205.474	418.162	246.219	158.83	355.276	283.657	181.918	179.778	277.895	324.173
31387_at	183.669	121.714	142.901	161.071	134.644	115.486	143.129	97.5727	95.621	170.835	121.302	125.587	61.3115	107.217	154.741	106.495	129.544	185.003	187.849	70.5196	-1816.64	152.508	127.877	81.8201	84.8364	180.668
31388_at	-0.944537	69.4382	58.8769	40.22	-17.3857	30.823	59.7806	62.7741	43.3468	57.4489	38.5655	34.9933	19.8458	39.1289	24.8446	35.6991	46.1631	40.7064	15.8017	25.2591	7.02804	10.2713	39.8845	21.4498	28.3289	30.695
31389_at	21.8096	5.72227	-25.6195	31.2705	19.9229	25.6218	20.6691	6.98695	17.4263	14.6789	4.60806	15.3988	16.7309	26.7801	11.0583	21.3087	-6.58117	16.2165	16.9958	10.6006	8.16405	21.833	36.89	25.1334	33.0593	24.5073
31390_at	16.7794	7.3986	16.2116	-61.0733	7.74658	4.40317	4.16593	7.7722	0.0576889	20.4225	22.7875	7.72275	26.7999	9.41311	10.2016	11.8785	6.7294	13.4062	3.98389	4.74133	9.63254	12.0283	6.36301	13.3877	-11.8278	16.98
31391_at	405.217	415.275	472.011	436.333	340.509	456.183	458.62	287.765	316.743	467.575	474.352	373.108	291.012	385.342	437.672	403.283	407.759	427.505	506.407	328.929	371.113	384.157	370.387	373.739	360.766	477.005
31392_r_at	78.5843	28.8216	76.1839	60.0639	73.6392	42.8331	80.0684	31.1771	36.0296	65.7655	57.8392	58.9034	68.0085	40.9863	44.1626	45.9825	50.2326	93.5351	76.9606	29.5291	68.6348	111.401	60.0514	41.2316	57.256	62.9815
31393_r_at	1705.65	1315.01	975.155	1420.69	1432.34	1406.38	1405.23	1034.85	1039.75	1022.23	1343.88	1091.26	1341.42	1405.31	1150.15	1190.18	732.503	1818.93	1854.34	1108.02	875.156	1552.5	1250.16	1690.04	1069.6	1144.85
31394_at	71.6915	36.1148	25.4608	41.971	18.8084	9.25876	114.141	41.1973	20.8679	36.5604	37.8733	22.5644	-5.03949	20.5272	33.3331	17.3389	31.4596	62.4827	61.4706	25.4939	22.8315	70.0416	45.784	42.6084	18.9821	39.2256
31395_i_at	16.6355	67.0027	23.3196	16.3495	8.87588	21.9462	15.0017	14.484	-7.13015	17.9342	11.6468	10.6076	11.985	16.6352	25.9648	12.962	22.3868	16.2637	7.87159	9.86538	12.7834	9.38613	17.0307	26.4521	8.01176	28.1562
31396_r_at	3211.06	2593.65	3219.65	2453.11	2627.62	3057.25	2784.51	1973.97	2136.31	2621.21	2134.67	2825.84	2462.38	1806.13	2849.15	2253.57	1987.59	2446.46	2154.92	1881.79	2908.65	3105.92	2659.47	2174.18	2442.02	2343.16
31397_at	80.4291	24.3428	98.2355	104.167	35.1561	43.3653	67.3431	26.3003	32.4043	69.9044	20.7209	31.0684	33.7193	36.4705	56.2084	26.0812	135.708	70.9351	63.9216	38.0273	73.0268	69.0755	39.4764	35.9456	38.3782	123.996
31398_at	15.9308	-17.6152	11.5571	13.7932	5.30396	13.7308	12.9932	13.0387	35.4223	5.62125	-0.262148	3.06087	31.9753	2.26179	21.5655	-9.33715	-2.7049	19.1831	21.003	18.6363	19.0389	14.0697	8.75707	17.0905	12.7976	11.7146
31399_at	86.4344	50.0729	62.0855	89.1047	70.8928	45.042	82.6335	70.2444	57.7617	61.0467	60.1439	66.2265	87.5545	45.9531	61.6313	45.8318	85.6406	99.676	126.628	47.8304	97.903	72.8632	67.4581	26.4139	77.7258	83.3672
31400_at	12.4541	9.31312	-3.89868	4.4386	-13.8029	-5.66411	2.46988	-23.7586	-19.3941	7.16121	9.54504	-12.3439	-0.64562	-1.86616	0.5633	4.25198	-1.73791	2.48638	15.2875	-10.7556	-18.5831	1.86091	3.32201	12.1516	-3.5095	3.66428
31401_r_at	13.0163	-23.0799	0.364566	8.19584	11.239	1.81244	8.19852	3.61405	15.0063	8.74683	11.0515	18.2999	23.9027	9.38855	6.6802	-0.235197	-0.253871	27.4741	14.8456	19.3657	30.1621	12.6286	6.27112	7.7893	8.89093	8.77839
31402_at	138.419	86.1644	133.15	89.7832	114.716	92.4059	126.301	144.866	137.011	159.503	85.3045	156.12	118.133	164.578	142.206	95.423	128.843	141.248	155.615	156.49	141.008	165.686	109.75	101.429	161.079	116.246
31403_at	16.6741	-8.1025	14.9364	14.4443	5.44362	3.38841	58.2465	12.9588	15.0828	-6.5198	17.2096	3.64407	4.938	-0.27847	-1.52441	12.242	-3.70685	27.3096	12.7579	-4.6479	15.9366	23.575	0.0379001	3.61813	9.12265	4.90859
31404_at	20.1171	19.6846	30.4366	54.3745	21.3368	27.4057	21.3715	12.1978	10.3074	30.0345	-10.0328	8.4741	16.1042	13.6962	14.2807	21.7191	48.5898	25.9065	33.5934	24.3279	20.1853	29.6849	18.788	25.9043	8.02902	66.3551
31405_at	323.881	235.001	247.264	249.8	204.602	195.913	342.757	228.561	209.233	215.707	249.915	202.573	202.256	218.181	227.428	207.132	210.508	252.931	316.255	177.577	627.3	291.643	219.604	165.546	220.578	246.004
31406_at	132.963	73.4631	230.803	187.791	136.36	170.641	92.0834	69.1006	26.6425	242.766	80.3918	99.9544	54.5443	120.039	154.188	110.167	211.484	113.078	98.0338	99.0255	247.215	136.994	83.3589	165.029	74.5015	221.677
31407_at	3.27231	13.8193	0.868223	6.62558	-2.31789	13.7318	-0.662	-12.9076	75.8138	9.23312	12.3823	-3.61491	-18.7757	11.5751	2.73304	18.8907	-16.6187	6.87179	-0.155925	-20.2743	-17.4408	12.2572	0.223356	2.21347	3.18391	24.1278
31408_at	113.622	59.9681	114.364	127.032	85.5356	77.4835	132.709	33.1189	42.3457	122.68	79.3767	66.551	42.8026	51.5134	135.888	62.423	69.303	116.856	114.746	18.2502	89.5689	116.667	72.8466	41.351	46.0466	93.6095
31409_at	-4.52738	2.94767	-1.38195	-5.58777	-0.247811	11.8705	-6.37538	-12.0223	-12.372	-3.09805	-24.3948	-4.67678	-23.1493	-6.85612	-6.55262	-2.17878	-20.0826	-18.8597	-1.48718	-21.5958	-11.199	-9.89752	-3.92575	-15.7535	-12.0782	-4.99042
31410_at	145.533	157.69	202.254	191.617	173.264	170.034	173.21	107.954	129.54	230.551	154.531	143.992	109.216	190.775	146.762	188.407	159.374	147.415	154.094	204.768	164.223	162.058	115.845	196.906	113.445	163.165
31411_at	19.0251	47.6266	24.8141	17.9258	12.6704	27.2993	7.82848	20.2041	-0.808758	25.0568	65.6515	7.87179	20.9903	8.15471	13.6927	4.73582	28.6098	36.6545	17.3349	13.9135	25.376	14.9847	15.8586	5.87379	30.5579	22.1886
31412_at	28.0719	61.1661	56.6022	78.5784	90.7857	48.4951	145.062	56.6382	115.298	73.4859	45.5399	102.047	168.211	62.5651	59.0275	57.3755	45.1189	109.731	147.235	30.9209	43.2611	135.385	100.997	71.1112	149.118	95.5136
31413_at	128.004	104.139	142.538	148.488	104.594	112.256	126.06	72.1951	111.984	148.278	120.194	112.608	96.529	82.6708	149.335	91.7946	138.511	120.15	156.007	41.149	165.297	134.205	110.407	112.901	115.344	125.46
31414_at	333.392	379.143	404.582	364.183	247.158	288.233	389.761	231.902	277.088	309.373	286.588	232.685	255.983	298.427	322.438	346.722	418.071	318.348	418.399	384.304	467.893	282.957	293.455	307.683	285.885	359.16
31415_at	17.6846	23.7638	26.6696	46.72	4.83192	15.8018	28.5087	4.51244	48.9072	29.2142	20.0277	16.5717	24.6469	18.8969	18.4279	5.35646	24.5252	22.4257	21.6388	4.3501	13.1353	31.3019	34.1911	13.0548	11.0866	29.7101
31416_at	92.238	71.4745	110.596	97.8402	69.3472	90.4763	95.2023	59.7258	60.702	133.58	84.3456	65.0425	57.3531	55.542	131.005	88.8214	58.6564	107.673	108.515	56.0264	98.6927	79.3672	77.0416	71.6915	63.4076	86.7899
31417_at	141.285	87.7626	159.432	130.051	89.6663	135.063	151.083	97.1518	89.4102	161.551	114.626	101.624	60.9461	93.0269	124.646	112.848	113.994	135.75	142.459	84.2963	140.993	129.701	120.623	87.8448	119.496	163.985
31418_at	17.7226	30.7267	20.0713	11.396	20.5333	17.4997	18.2265	14.8023	11.8831	25.4871	-3.70138	15.5074	16.7617	21.6652	12.9452	12.5417	9.71542	42.688	24.9952	5.9091	11.9114	25.2638	13.4395	13.656	21.3215	55.433
31419_r_at	1937.11	1499.43	1981.21	1414.58	1435.34	1447.35	1746.7	1446.33	1280.76	1284.19	1408.67	1336.5	1194.77	1345.85	1413.51	1366.66	1149.7	1507.05	1218.14	1111.55	1813.87	2063.8	1331.91	1324.22	1227.09	1347.3
31420_at	54.0638	39.9567	79.788	117.664	31.4634	20.3943	81.1804	31.1922	7.54955	110.777	55.6233	28.023	65.8861	44.3509	63.8342	55.1934	62.2579	64.8156	11.8222	18.1803	67.8542	85.4085	31.2241	68.4614	51.6233	102.779
31421_at	15.8039	7.69656	20.2375	26.8048	47.8388	9.1535	13.7397	17.7331	21.8121	27.8657	86.996	19.2818	41.8083	14.3534	15.1334	13.0844	28.4784	12.377	7.9083	35.6877	25.6188	22.2778	8.70833	13.8467	45.6924	12.6033
31422_at	29.8451	2.28445	32.2108	35.6676	21.6173	11.2232	33.0161	23.9397	26.8602	33.4392	44.146	21.8167	35.2495	17.6052	24.8349	33.9986	50.1206	38.9106	37.2163	36.4223	22.4116	35.5618	25.7259	15.6624	35.5513	21.714
31423_at	76.3667	59.4088	78.4334	51.7222	36.6126	52.4492	80.331	34.4429	27.1097	99.1692	56.8192	54.3966	39.6414	25.6272	53.312	60.4339	53.1632	72.865	85.4512	28.7847	82.7	68.1409	59.1483	-2.11244	34.4882	57.3163
31424_at	445.892	330.876	534.38	382.114	304.094	263.404	500.006	275.279	276.223	382.291	330.901	319.706	315.246	334.12	329.991	318.644	382.944	483.677	491.36	336.821	460.699	477.608	305.94	297.141	299.461	335.173
31425_g_at	143.263	105.898	194.198	196.659	90.4853	88.8359	168.432	89.5355	69.8056	180.04	94.1995	103.576	91.0557	100.373	112.056	107.152	205.593	150.884	183.883	113.682	124.313	159.587	77.5733	107.993	86.7734	192.821
31426_at	202.725	176.47	268.142	264.509	176.797	240.531	199.011	150.161	141.762	290.715	198.394	203.31	99.0671	178.179	260.494	207.756	292.019	183.042	208.501	153.298	238.174	177.912	178.913	217.546	120.669	263.324
31427_at	24.9869	1.81061	19.7106	14.1542	5.51239	13.914	22.4592	12.1368	9.92208	26.878	20.956	3.55299	-13.6988	55.6927	15.5461	10.0655	4.40127	30.0473	50.3986	-12.3375	8.88709	12.3833	16.5687	8.23705	5.09833	8.9268
31428_at	963.851	851.733	1151.71	1326.21	1034.81	952.742	1266.08	733.126	471.624	1354.88	1004.99	1068.35	735.746	688.725	1383.65	908.623	972.107	1264.23	1077.88	703.197	1043.82	1504.4	1227.09	872.009	672.499	789.193
31429_at	79.9563	20.8281	33.9701	64.8629	42.2959	25.8131	96.4681	33.8044	18.7722	49.6606	34.7985	28.3274	41.1719	42.0559	37.1371	24.9347	11.6381	67.7055	124.843	6.54321	25.7917	89.2294	25.6378	70.5007	38.728	49.4697
31430_at	56.2773	45.8031	40.1148	39.6481	31.9282	33.9627	52.4657	32.9493	34.121	32.0053	43.6125	26.3981	47.3791	18.2529	26.8427	30.1607	33.2306	43.9821	50.9061	3.4003	39.0679	36.7813	25.5943	20.4041	52.5188	50.0177
31431_at	321.199	649.608	189.034	175.793	561.815	399.248	165.172	428.544	330.872	100.544	458.303	252.545	177.377	223.116	243.959	784.132	137.403	83.8563	135.342	365.171	109.691	100.322	424.363	198.528	515.891	240.026
31432_g_at	738.774	1163.7	458.814	529.609	1445.61	981.156	439.903	908.692	803.91	275.601	1105.91	703.073	614.182	530.782	606.582	1581.78	382.1	235.309	408.804	948.665	209.892	178.409	1060.22	839.796	1046.02	484.841
31433_at	100.949	55.8623	111.326	80.6403	83.6597	99.5194	58.831	55.2216	89.2639	139.466	85.4095	54.1925	59.8693	67.9175	98.9069	61.0361	107.61	83.3796	99.3985	57.6749	103.859	74.2343	66.4364	78.6212	72.8346	101.277
31434_at	188.097	151.278	243.659	118.342	137.314	113.287	232.393	122.623	202.322	145.483	239.99	217.043	30.885	99.6496	61.6406	208.332	274.315	153.38	192.397	140.807	245.403	145.029	214.827	64.8983	92.867	248.77
31435_at	18.1364	-16.7101	11.1631	12.7879	20.7974	-3.55475	20.3798	12.5489	17.1598	18.9868	14.5133	6.1789	22.5553	5.35416	16.9089	9.41051	3.02641	21.2252	22.2958	-47.5884	10.1044	22.5529	10.2609	6.00077	12.066	7.27135
31436_s_at	355.357	277.792	410.494	358.9	284.287	321.253	390.69	234.033	204.002	350.785	367.98	257.203	243.968	256.393	340.449	272.553	402.868	339.996	286.63	230.304	311.758	338.865	326.249	245.485	282.087	318.83
31437_r_at	74.2606	42.7732	64.8875	58.4443	58.4877	64.8132	76.8212	12.3606	19.8715	62.5827	70.3372	51.0011	35.9511	35.4812	49.6253	35.7506	51.989	64.6378	70.1096	35.2882	35.0417	70.4458	58.4576	54.9742	44.848	34.0554
31438_s_at	133.454	241.785	86.9771	123.854	96.2139	153.21	102.604	79.2471	69.9369	142.035	159.58	122.56	63.6658	111.821	149.616	287.011	161.62	173.331	55.9491	92.0679	156.112	143.998	316.629	172.73	274.913	346.501
31439_f_at	98.7327	131.357	150.6	126.945	114.396	108.544	115.513	132.363	139.112	166.257	113.518	104.892	99.4039	92.1831	120.192	130.155	144.589	98.6056	137.51	119.55	129.443	137.354	103.313	102.901	130.913	111.967
31440_at	694.948	616.905	897.232	763.094	572.889	689.428	694.082	477.632	475.68	824.404	627.214	669.295	522.82	531.768	667.523	675.119	700.349	743.576	721.507	594.026	773.753	718.835	630.475	624.53	538.964	689.406
31441_at	92.4006	54.4591	70.4278	63.7269	50.0257	40.1967	95.4191	48.276	38.5653	54.5118	48.9686	55.4482	60.6395	45.3206	49.9381	37.0291	72.0878	87.6906	98.5957	47.8285	54.0158	92.2865	56.2809	66.6335	60.7766	55.0139
31442_at	25.0186	41.0307	41.771	27.4686	21.7261	24.1371	31.7582	18.9685	10.3207	41.2395	18.9257	14.6155	-1.66086	19.816	24.8398	27.0153	12.6023	50.6009	19.5054	1.59722	19.2496	44.6636	20.6089	29.4896	25.2943	43.8142
31443_at	250.085	212.55	266.278	229.632	215.397	219.8	292.824	170.293	179.287	214.626	215.514	192.87	159.967	142.631	225.262	197.177	195.966	267.82	251.092	141.695	195.573	294.612	197.695	180.67	217.75	233.662
31444_s_at	3876.44	4456.75	3561.69	3045.6	4848.85	6103.53	4843.85	3218.18	5019.1	2876.39	5072.36	3837.67	4483.8	4859.73	3546.96	4754.66	4706.92	3831.35	4551.91	4590.73	3191.4	3153.36	4188.16	5833.66	4273.07	3559.32
31445_at	117.049	212.208	96.4136	94.6744	138.355	183.204	243.369	133.185	131.735	117.19	198.417	164.49	129.281	249.207	136.091	130.537	92.8416	133.764	122.042	91.6325	60.8176	107.572	130.831	116.569	104.672	69.8729
31446_s_at	122.154	115.759	139.54	108.665	95.7016	117.629	150.37	71.059	96.5819	145.883	108.445	98.1155	39.2241	103.439	121.874	106.092	92.2657	103.796	152.411	73.205	85.4708	127.595	85.652	74.2093	87.2302	146.993
31447_at	67.1931	58.1292	65.321	65.6258	41.1985	66.3195	73.6126	42.2979	52.7207	77.1433	43.7502	44.7301	32.5089	47.2751	51.4883	67.2723	41.3558	65.1927	60.2571	-7.3732	78.6881	66.1574	54.0967	58.8941	60.3566	67.9381
31448_s_at	7.30897	-15.082	1.92815	-2.53157	-2.8474	1.21957	13.5536	17.1591	118.578	21.0514	15.3726	-3.83686	10.4541	9.05566	8.84598	6.46507	7.73853	4.23406	27.1888	4.2271	8.26688	20.5912	-0.698646	11.4795	11.6709	9.17022
31449_at	84.6283	90.8461	70.2624	80.7287	63.9182	50.7251	84.8325	62.4136	66.3749	88.9109	60.6967	65.8807	33.5574	52.3237	69.2017	102.061	70.9883	102.03	100.811	54.6507	106.968	123.183	50.5705	38.9307	83.4133	110.155
31450_s_at	49.592	20.9174	23.7333	42.6169	17.0448	13.9721	44.2015	20.5905	11.2237	35.9333	28.7406	15.7527	26.8906	10.8053	20.1963	32.6796	18.9096	38.5771	39.2265	13.1526	22.7105	38.7749	16.5062	24.9464	19.6816	33.0339
